star_score,score_reple,writer_id,write_date
2,그냥 아무생각없이 시간때우기용.악역이 다들 좀 모자른듯.유치함.그냥 가족영화. 내용이나 액션을 기대한다면 대실망할듯.,히야라기(wjwh****),2020.01.22 13:49
1,아무리 연휴에 코메디가 히트친다고 하지만...이렇게 만들어 놓고 흥행할거라고 기대하는건 아니지 않나,iaiv****,2020.01.22 16:28
1,억지로 짜내는 웃음포인트..,땅콩(lmir****),2020.01.22 13:11
2,댓글알바 백퍼에요 비급도 안되는 디급 영화 돈 진짜 아까워... 유치하고 말도 안되는 스토리 설정에,다음(jiwo****),2020.01.22 22:02
1,개봉직 후 호들갑떠는 것들은 죄다 평점알바라 보시면 되요  배꼽이 빠졌다는둥 오바떠는 것들,짐레이너(star****),2020.01.22 10:33
1,권상우 연기도 못하는게 자꾸나오네 수준 낮은 코미디,한서맘(subi****),2020.01.22 12:40
10,,조현숙(chun****),2020.01.23 10:42
10,가족끼리봤는데 웃기고 연기도 다들 잘함~,쁘니(taey****),2020.01.23 12:44
10,진짜 개웃김 ㅋㅋ나 왠만해서 걍 안웃는데 진짜 눈물흘리면서 웃음 ㅋㅋ 특히 정준호랑 권상우 차안에서 씬이랑 황우슬혜 술취해서 액션하는 씬 진짜 와 역대급 웃겼음 ㅋㅋ 또 보러 가고싶음 ㅋㅋ,수연(yon1****),2020.01.23 12:35
8,친구들이랑 같이 봤는데 배우들 연기들도잘하고 재밌는 요소가 많았습니다 이런영화 자주 나왔으면 좋겠어요2020.01.23,김준혁(alk9****),2020.01.23 12:26
10,최고의 코믹액션영화가 탄생했네요. 대박입니다 ㅋㅋ 가족들과 다시한번 봐야겠네요,양하니(leeh****),2020.01.23 12:19
10,넘 재밌어요  시간 가는줄  몰랐어요  강력 추천 합니다 대박^,bok3****,2020.01.23 11:56
10,간만에 웃을수 있어서 좋았네요전반적인 스토리는 뻔 하지만 웃음 포인트로 잘 넘계서 매끄럽게 잘 넘어가서 좋았어요,다복이(ekgu****),2020.01.23 11:50
10,너무 잼나요 권상우 최고,빛고을(pen4****),2020.01.23 11:27
8,설날 명절에 가족들끼리 가볍게 보기엔 괜찮은 영화고 배우들 연기가 역시 대단해요.. 연출이 조금 아쉽긴하지만 잘 봤습니다,연(ojy1****),2020.01.23 11:17
10,권상우 액션 넘 잘하심ㅋㅋ정준호랑도 케미 좋고ㅋㅋㅋ많이 웃다 나왔어요ㅋㅋ강추 합니다^^♡,땡그리(hyoj****),2020.01.23 10:25
10,라스보고 봤는데진짜 웃겨서 배꼽잡음B급 코미디의 정석이네요ㅎㅎㅎ기대없이 봐야 더 꿀잼,saa0****,2020.01.23 15:27
9,재밌었다ㅋㅋㅋ 믿고보는 권상우 빵빵 웃고나왔음!!,chgu****,2020.01.23 15:18
6,약간 극한직업의 개그를 생각하고 만든 느낌인데 거기까지 빵 터지게 웃기진 않네요훈훈한 가족영화라서 나쁜악당이 나오지만 잔인한건 없어서 좋았네요 권상우배우가 신의한수에서 몸만들더니물들어올때 노젓는다고 액션에 몰빵했네요...,영슈(evej****),2020.01.23 14:44
10,보는 내내 웃었어요 추천 꾹,민상(msoi****),2020.01.23 14:16
10,엄청 재밌어요 특히 배우들 서로서로 욕할때요 ㅎㅎ,tls(tlsm****),2020.01.23 04:35
1,자다가 나옴 ㅠㅜ...,뼈구너(qlfq****),2020.01.23 15:33
10,웃겨요 재밌습니당!  ㅋㅋㅋ,실버골드(ksm3****),2020.01.23 14:06
10,가볍게 보기 참좋아요 뭐 뻔한거지만 어설픈 코믹이기는 하지만 편하게 웃으면서 보기는 좋은같습니다,도연유식(kti4****),2020.01.23 13:13
